Ingredient,SMILES
Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
Doxorubicin,COC1=C(C(C(C2=C1C(=O)C3=C(C4=C(C(=C3C2=O)O)CC(C(C4)(O)C(=O)CO)OC5CC(C(C(O5)C)O)N)O)O)O)O
Paclitaxel,CC1=C(C(C(C2(C(C(C3=C(C(C(C(C3(C2(C1=O)C)C)OC(=O)C)O)O)OC(=O)C)OC(=O)C4=CC=CC=C4)C)O)OC(=O)C5=CC=CC=C5)(C)C)OC(=O)C(C(C6=CC=CC=C6)NC(=O)C7=CC=CC=C7)O
Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Tamoxifen,CCC(C1=CC=CC=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCN(C)C)C4=CC=CC=C4
Fluorouracil,C1=C(C(=O)NC(=O)N1)F
Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
Erlotinib,COCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCOC
Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
