Ingredient name,SMILES,Pubchem_CID,Plant,molecular_formula
(+)-5-Epi-aristolochene,CC1CCCC2=CCC(CC12C)C(=C)C,5460659,Acorus calamus,
(+)-Curcumenol,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,167812,Curcuma longa,
(+)-Endo-beta-bergamotene,CC(=CCCC1(C2CCC(=C)C1C2)C)C,12300073,Syzygium aromaticum,
(+)-Fenchone,CC1(C2CCC(C2)(C1=O)C)C,1201521,Piper betel,
(+)-alpha-Cadinene,CC1=CC2C(CC1)C(=CCC2C(C)C)C,12306048,"Curcuma longa, Piper betel, Acorus calamus",
(+)-alpha-Funebrene,CC1CCC2C13CC=C(C(C3)C2(C)C)C,6552024,Acorus calamus,
(+)-beta-Phellandrene,CC(C)C1CCC(=C)C=C1,442484,"Curcuma longa, Piper betel, Syzygium aromaticum, Acorus calamus",
(+)-cis-Sabinol,CC(C)C12CC1C(=C)C(C2)O,94147,Curcuma longa,
(+)-delta-Cadinene,CC1=CC2C(CCC(=C2CC1)C)C(C)C,441005,"Curcuma longa, Piper betel, Syzygium aromaticum, Acorus calamus",
(+)-delta-Selinene,CC1=C2C=C(CCC2(CCC1)C)C(C)C,12308846,Acorus calamus,
(+)-gamma-Cadinene,CC1=CC2C(CC1)C(=C)CCC2C(C)C,6432404,"Piper betel, Syzygium aromaticum, Acorus calamus",
(+)-gamma-Gurjunene,CC1CCC(C=C2C1CCC2C)C(=C)C,90805,"Piper betel, Acorus calamus",
(-)-Acorenone,CC1CCC(C12CC=C(C(=O)C2)C)C(C)C,12480741,Acorus calamus,
(-)-Catechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,73160,Punica granatum,
(-)-Globulol,CC1CCC2C1C3C(C3(C)C)CCC2(C)O,12304985,Acorus calamus,
(-)-Isoshyobunone,CC(C)C1CCC(C(=C(C)C)C1=O)(C)C=C,5318673,Acorus calamus,
(-)-alpha-Cadinol,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C,10398656,"Syzygium aromaticum, Acorus calamus",
(-)-alpha-Himachalene,CC1=CC2C(CC1)C(=C)CCCC2(C)C,11830551,Acorus calamus,
