Ingredient,UniProt_name,Probability
Imatinib,VEGFA_HUMAN,0.82
Imatinib,CTNNB1_HUMAN,0.52
Imatinib,AKT1_HUMAN,0.55
Imatinib,IL6_HUMAN,0.59
Imatinib,GAPDH_HUMAN,0.85
Doxorubicin,CTNNB1_HUMAN,0.81
Doxorubicin,EGFR_HUMAN,0.88
Doxorubicin,JUN_HUMAN,0.66
Doxorubicin,MYC_HUMAN,0.69
Doxorubicin,TP53_HUMAN,0.7
Paclitaxel,JUN_HUMAN,0.81
Paclitaxel,ALB_HUMAN,0.65
Paclitaxel,TNF_HUMAN,0.98
Paclitaxel,GAPDH_HUMAN,0.92
Paclitaxel,CTNNB1_HUMAN,0.83
Methotrexate,JUN_HUMAN,0.68
Methotrexate,AKT1_HUMAN,0.89
Methotrexate,GAPDH_HUMAN,0.82
Methotrexate,INS_HUMAN,0.52
Methotrexate,TNF_HUMAN,0.84
Tamoxifen,JUN_HUMAN,0.55
Tamoxifen,ALB_HUMAN,0.7
Tamoxifen,INS_HUMAN,0.83
Tamoxifen,CTNNB1_HUMAN,0.87
Tamoxifen,GAPDH_HUMAN,0.54
Fluorouracil,MYC_HUMAN,0.93
Fluorouracil,ALB_HUMAN,0.5
Fluorouracil,AKT1_HUMAN,0.83
Fluorouracil,VEGFA_HUMAN,0.88
Fluorouracil,TP53_HUMAN,0.55
Gefitinib,GAPDH_HUMAN,0.72
Gefitinib,AKT1_HUMAN,0.72
Gefitinib,ALB_HUMAN,0.97
Gefitinib,VEGFA_HUMAN,0.84
Gefitinib,MYC_HUMAN,0.75
Erlotinib,JUN_HUMAN,0.76
Erlotinib,AKT1_HUMAN,0.59
Erlotinib,TNF_HUMAN,0.63
Erlotinib,VEGFA_HUMAN,0.78
Erlotinib,TP53_HUMAN,0.69
Sunitinib,AKT1_HUMAN,0.91
Sunitinib,VEGFA_HUMAN,0.54
Sunitinib,IL6_HUMAN,0.68
Sunitinib,INS_HUMAN,0.53
Sunitinib,JUN_HUMAN,0.65
Sorafenib,TNF_HUMAN,0.67
Sorafenib,TP53_HUMAN,0.74
Sorafenib,AKT1_HUMAN,0.81
Sorafenib,MYC_HUMAN,0.72
Sorafenib,GAPDH_HUMAN,0.5
