Original Gene Symbol,Processed Value
MEN1 ,MEN1_HUMAN
HIP1 ,HIP1_HUMAN
ARID1A ,ARI1A_HUMAN
PTPRT ,PTPRT_HUMAN
TERT ,TERT_HUMAN
TBX3 ,TBX3_HUMAN
MDM4 ,MDM4_HUMAN
PPM1D ,PPM1D_HUMAN
RAD51B ,RA51B_HUMAN
TOX3 ,TOX3_HUMAN
KDM6A ,KDM6A_HUMAN
KLF4 ,KLF4_HUMAN
RAD51C ,RA51C_HUMAN
FOXO3 ,FOXO3_HUMAN
PRC1 ,PRC1_HUMAN
NBN ,NBN_HUMAN
MITF ,MITF_HUMAN
NCOR1 ,NCOR1_HUMAN
POLQ ,DPOLQ_HUMAN
SF3B1 ,SF3B1_HUMAN
RAD51D ,RA51D_HUMAN
RECQL4 ,RECQ4_HUMAN
UBR5 ,UBR5_HUMAN
CHEK2 ,CHK2_HUMAN
DHFR ,DYR_HUMAN
EGFR ,EGFR_HUMAN
HRAS ,RASH_HUMAN
KRAS ,RASK_HUMAN
ESR1 ,ESR1_HUMAN
TUBB4A ,TBB4A_HUMAN
ERBB2 ,ERBB2_HUMAN
TP53 ,P53_HUMAN
TYMS ,TYSY_HUMAN
RB1 ,RB_HUMAN
TUBB ,TBB5_HUMAN
RET ,RET_HUMAN
TACSTD2 ,TACD2_HUMAN
PARP1 ,PARP1_HUMAN
POLA1 ,DPOLA_HUMAN
MYB ,MYB_HUMAN
AR ,ANDR_HUMAN
BCL2 ,BCL2_HUMAN
KIT ,KIT_HUMAN
TOP1 ,TOP1_HUMAN
TOP2A ,TOP2A_HUMAN
CYP19A1 ,CP19A_HUMAN
CDK4 ,CDK4_HUMAN
CDH1 ,CADH1_HUMAN
VEGFA ,VEGFA_HUMAN
RXRA ,RXRA_HUMAN
NF1 ,NF1_HUMAN
FGFR2 ,FGFR2_HUMAN
ERBB3 ,ERBB3_HUMAN
FGFR4 ,FGFR4_HUMAN
JAK1 ,JAK1_HUMAN
GATA3 ,GATA3_HUMAN
RRM1 ,RIR1_HUMAN
APC ,APC_HUMAN
PIK3R1 ,P85A_HUMAN
POLD1 ,DPOD1_HUMAN
MAPK1 ,MK01_HUMAN
GNRHR ,GNRHR_HUMAN
AKT1 ,AKT1_HUMAN
MYH9 ,MYH9_HUMAN
KDR ,VGFR2_HUMAN
BMPR1A ,BMR1A_HUMAN
TGFBR2 ,TGFR2_HUMAN
BRCA1 ,BRCA1_HUMAN
CUX1 ,CUX1_HUMAN
PBX1 ,PBX1_HUMAN
MLH1 ,MLH1_HUMAN
PIK3CA ,PK3CA_HUMAN
PIK3CB ,PK3CB_HUMAN
ABL2 ,ABL2_HUMAN
CDKN2A ,CDN2A_HUMAN
CDKN2B ,CDN2B_HUMAN
MSH2 ,MSH2_HUMAN
MAP2K4 ,MP2K4_HUMAN
ATRX ,ATRX_HUMAN
CDKN1B ,CDN1B_HUMAN
YAP1 ,YAP1_HUMAN
POLD2 ,DPOD2_HUMAN
PRIM1 ,PRI1_HUMAN
PRIM2 ,PRI2_HUMAN
FHIT ,FHIT_HUMAN
BRCA2 ,BRCA2_HUMAN
GPC3 ,GPC3_HUMAN
AFF3 ,AFF3_HUMAN
MSH6 ,MSH6_HUMAN
HMGA2 ,HMGA2_HUMAN
BLM ,BLM_HUMAN
PMS2 ,PMS2_HUMAN
AFDN ,AFAD_HUMAN
MLLT10 ,AF10_HUMAN
ELL ,ELL_HUMAN
FOXA1 ,FOXA1_HUMAN
POLE2 ,DPOE2_HUMAN
PTEN ,PTEN_HUMAN
MAX ,MAX_HUMAN
FKBP1A ,FKB1A_HUMAN
TUBB4B ,TBB4B_HUMAN
CDK6 ,CDK6_HUMAN
FANCC ,FANCC_HUMAN
CLTC ,CLH1_HUMAN
MDM2 ,MDM2_HUMAN
RUNX1 ,RUNX1_HUMAN
FLI1 ,FLI1_HUMAN
CACNA1D ,CAC1D_HUMAN
NRG1 ,NRG1_HUMAN
PAX5 ,PAX5_HUMAN
MECOM ,MECOM_HUMAN
NOTCH2 ,NOTC2_HUMAN
ACVR1 ,ACVR1_HUMAN
RAD51 ,RAD51_HUMAN
POLE ,DPOE1_HUMAN
MN1 ,MN1_HUMAN
ARHGEF5 ,ARHG5_HUMAN
GRIN2A ,NMDE1_HUMAN
PTPN13 ,PTN13_HUMAN
MAP3K1 ,M3K1_HUMAN
ATM ,ATM_HUMAN
NFATC2 ,NFAC2_HUMAN
TUBB3 ,TBB3_HUMAN
TUBB2A ,TBB2A_HUMAN
CUX1 ,CASP_HUMAN
CBFB ,PEBB_HUMAN
POLA2 ,DPOA2_HUMAN
CASP8 ,CASP8_HUMAN
SUZ12 ,SUZ12_HUMAN
POLD3 ,DPOD3_HUMAN
PTPRK ,PTPRK_HUMAN
ERBB4 ,ERBB4_HUMAN
NCOA2 ,NCOA2_HUMAN
STK11 ,STK11_HUMAN
EZH2 ,EZH2_HUMAN
ZFHX3 ,ZFHX3_HUMAN
NTRK3 ,NTRK3_HUMAN
EXT1 ,EXT1_HUMAN
NTRK2 ,NTRK2_HUMAN
ATP2B3 ,AT2B3_HUMAN
DDR2 ,DDR2_HUMAN
TUBB8 ,TBB8_HUMAN
BCORL1 ,BCORL_HUMAN
PLAG1 ,PLAG1_HUMAN
TET2 ,TET2_HUMAN
CDC73 ,CDC73_HUMAN
RICTOR ,RICTR_HUMAN
RSPO2 ,RSPO2_HUMAN
FAT4 ,FAT4_HUMAN
PREX2 ,PREX2_HUMAN
SND1 ,SND1_HUMAN
FBXO11 ,FBX11_HUMAN
PALB2 ,PALB2_HUMAN
FANCM ,FANCM_HUMAN
CCDC170 ,CC170_HUMAN
MAML2 ,MAML2_HUMAN
ABI1 ,ABI1_HUMAN
STAG2 ,STAG2_HUMAN
CDKN2A ,ARF_HUMAN
KMT2C ,KMT2C_HUMAN
ARID1B ,ARI1B_HUMAN
KAT6B ,KAT6B_HUMAN
ESR2 ,ESR2_HUMAN
KAT6A ,KAT6A_HUMAN
RAD50 ,RAD50_HUMAN
LPP ,LPP_HUMAN
MRTFA ,MRTFA_HUMAN
MSI2 ,MSI2H_HUMAN
ZNF521 ,ZN521_HUMAN
QKI ,QKI_HUMAN
SDHC ,C560_HUMAN
BARD1 ,BARD1_HUMAN
EPAS1 ,EPAS1_HUMAN
TUBB6 ,TBB6_HUMAN
