,degree,closeness,betweenness,eigenvector,sum
TP53,0.22754491017964074,0.36311123336366136,0.20226936740985013,0.2637982973350224,1.0567238082881747
BRCA1,0.19161676646706588,0.3413969403385919,0.12695819851229417,0.32504513571987353,0.9850170410378254
ATM,0.14371257485029942,0.3022367030644593,0.02580334584275307,0.27089842575681294,0.7426510495143248
BRCA2,0.1377245508982036,0.2919331790963527,0.010012301669233033,0.27767876429650423,0.7173487959602936
RAD51,0.11976047904191617,0.2961397090545135,0.018506643780900268,0.2413990262263084,0.6758058581036384
ESR1,0.11976047904191617,0.33691960341611854,0.10752383559473885,0.09560917221223177,0.6598130902650053
MSH2,0.09580838323353294,0.2919331790963527,0.015795981965447414,0.20196695386510335,0.6055044981604364
AKT1,0.10179640718562875,0.3293605097497313,0.06948939652451268,0.09569591977914457,0.5963422332390174
BLM,0.08383233532934133,0.28308671912373595,0.0032488346794408134,0.19896060574569577,0.5691284948782138
POLD1,0.10778443113772455,0.259496159196758,0.05138387006944478,0.1445329485265346,0.5631974089304619
MLH1,0.07784431137724551,0.28865303101661843,0.007493163104781054,0.18067088971107276,0.5546613952097177
FANCD2,0.08383233532934133,0.2725742149652949,0.02058617472147594,0.17727858278200545,0.5542713077981176
BARD1,0.07784431137724551,0.2784836830404232,0.0028422071558750514,0.17975129520247796,0.5389214967760217
BRIP1,0.08383233532934133,0.2569011976047904,0.0006161609189906485,0.1904868427007536,0.531836536553876
MDM2,0.08982035928143713,0.31425222948598214,0.026116179186377673,0.09529011167887377,0.5254788796326707
MSH6,0.08383233532934133,0.2562605462391924,0.002671455378305477,0.17610459345118445,0.5188689303980236
CHEK2,0.07185628742514971,0.2800013052913247,0.005001259044810912,0.1584658840543309,0.5153247358156162
PALB2,0.07784431137724551,0.2562605462391924,0.0006464869505846633,0.1738794009088061,0.5086307454758288
ERBB2,0.08383233532934133,0.3095195151864945,0.028267945951027856,0.08606602511402006,0.5076858215808837
PMS2,0.0658682634730539,0.28308671912373595,0.006448960270520654,0.1497362635576272,0.5051402064249377
PIK3CA,0.10179640718562875,0.2961397090545135,0.021874123784165825,0.07870345274407203,0.4985136927683801
KRAS,0.10778443113772455,0.2815355590189484,0.027443679377616784,0.07464237887803545,0.49140604841232516
FANCM,0.07784431137724551,0.2537295778812745,0.0020088572058115754,0.15713330457755265,0.4907160510418842
EXO1,0.07185628742514971,0.2556230821938213,0.005724947279114126,0.15731230267937918,0.4905166195774643
RAD51C,0.0658682634730539,0.2543576213908816,0.0003757997259469955,0.1535832895675076,0.4741849741573901
EGFR,0.08982035928143713,0.2927648975553167,0.01323204452398112,0.07300241476662396,0.4688197161273589
CDK4,0.059880239520958084,0.2862408886961453,0.011755142196013762,0.10824900562395537,0.46612527603707254
HRAS,0.09580838323353294,0.2762378468868714,0.021604482969757158,0.06500558208014605,0.4586562951703076
NBN,0.059880239520958084,0.24761561214919556,0.0001558738970408972,0.14667192009455887,0.45432364566175343
MAPK1,0.0658682634730539,0.293601368691189,0.03361160793851668,0.05029545132303507,0.4433766914257947
FOXO3,0.04790419161676647,0.2927648975553167,0.046501768731673575,0.05294210085326354,0.4401129587570203
AR,0.05389221556886228,0.2995932333583562,0.02049692056492203,0.06123459435242585,0.4352169638445663
PTEN,0.07185628742514971,0.28076633618009883,0.013453307508998733,0.06385007924506178,0.4299260103593091
PIK3R1,0.08982035928143713,0.27113582860663893,0.009515687543891633,0.058958486344575796,0.4294303617765435
POLE,0.07185628742514971,0.25186391922038276,0.023077004287330987,0.0781553715059078,0.42495258243877126
EZH2,0.04790419161676647,0.2800013052913247,0.04791373248149146,0.04372776112936632,0.41954699051894895
CDKN2A,0.0658682634730539,0.2800013052913247,0.009731311144702982,0.06133285042405818,0.4169337303331398
RAD51D,0.04790419161676647,0.2452517399568405,0.00010397037612904465,0.11376520852382528,0.40702511047356127
PIK3CB,0.07784431137724551,0.25498878174172745,0.0036169881647757853,0.0513064126001855,0.38775649388393424
ERBB4,0.05389221556886228,0.263488407799785,0.02375782053769001,0.034822020939369425,0.37596046484570667
PARP1,0.029940119760479042,0.27549726284696024,0.0049793641309404954,0.06552921549556387,0.3759459622339437
FANCC,0.035928143712574856,0.24821371749255114,0.0,0.09102253758173265,0.3751643987868586
RUNX1,0.059880239520958084,0.23842338524806533,0.06320351003244119,0.006003960465373596,0.3675110952668382
RAD51B,0.035928143712574856,0.24235962038187775,1.4567713507183962e-05,0.08872184879998506,0.36702418060794484
TOP1,0.017964071856287428,0.2581921583967743,0.06262174446288146,0.02314689217785809,0.36192486689380127
MDM4,0.029940119760479042,0.27185311915850835,0.00019581347317441393,0.05943206952288804,0.3614211219150499
BCL2,0.04191616766467066,0.26971254341710277,0.0016097492044020248,0.04730113482117739,0.36053959510735284
RAD50,0.029940119760479042,0.2429325745671777,8.016096321413398e-06,0.07842188889108324,0.3513025993150614
CDKN1B,0.035928143712574856,0.2683041228248464,0.0017422300545282081,0.04200047946602073,0.34797497605797023
ARID1A,0.023952095808383235,0.2683041228248464,0.009893052022197358,0.038266409726267915,0.34041568038169495
CDH1,0.035928143712574856,0.2543576213908816,0.017784564144807707,0.029102103541419587,0.33717243278968373
ERBB3,0.05389221556886228,0.2452517399568405,0.000620574146736561,0.035174058078004874,0.3349385877504442
ATRX,0.017964071856287428,0.27042231326820043,0.0016462386038149344,0.03839045690133522,0.328423080629638
RB1,0.023952095808383235,0.2655309535966826,0.0008426824336465008,0.03397959884253593,0.3243053306812483
CASP8,0.017964071856287428,0.26281452440387765,0.00015082850466300443,0.04070355942900435,0.32163298419383246
DROSHA,0.011976047904191617,0.2683041228248464,0.0,0.04118223294927416,0.32146240367831214
MEN1,0.017964071856287428,0.24941863845125284,0.02803133740546501,0.019179439826864812,0.31459348753987004
NCOA2,0.035928143712574856,0.24761561214919556,0.016475131229823043,0.013198877594512834,0.31321776468610624
TERT,0.017964071856287428,0.2608133985835436,0.008450622168408861,0.025281069910915516,0.3125091625191554
JAK1,0.04790419161676647,0.23407853995880673,0.0004338342348439571,0.029371525861895693,0.3117880916723128
POLD2,0.0658682634730539,0.20031282464311143,0.0007759763423135474,0.043490009746682795,0.3104470742051616
NCOR1,0.04191616766467066,0.24408664855562032,0.008067309698222879,0.014111834845393252,0.30818196076390714
STK11,0.017964071856287428,0.26214407918856164,0.0002665660338266932,0.026618109273713,0.3069928263523888
CDK6,0.035928143712574856,0.24178936245156743,0.00797432212965704,0.018514226795703012,0.3042060550895023
ESR2,0.035928143712574856,0.2488147192298212,0.0019042678036912464,0.013575516375352835,0.3002226471214401
NCOR2,0.035928143712574856,0.24235962038187775,0.007218319211038899,0.013249041446959165,0.29875512475245064
TP63,0.011976047904191617,0.25498878174172745,0.0,0.025114089654588216,0.2920789193005073
POLD3,0.059880239520958084,0.19876301555496356,0.00016833802274968132,0.03320729166972042,0.2920188847683918
MUTYH,0.023952095808383235,0.2167942595821016,0.0,0.04954854959826252,0.2902949049887473
POLE3,0.05389221556886228,0.19837930316972233,0.0,0.03219597993641884,0.2844674986750034
POLE2,0.05389221556886228,0.19837930316972233,0.0,0.03219597993641883,0.2844674986750034
PRIM2,0.05389221556886228,0.19837930316972233,0.0,0.03219597993641883,0.2844674986750034
POLA1,0.05389221556886228,0.19837930316972233,0.0,0.03219597993641884,0.2844674986750034
POLA2,0.05389221556886228,0.19837930316972233,0.0,0.03219597993641883,0.2844674986750034
PRIM1,0.05389221556886228,0.19837930316972233,0.0,0.03219597993641883,0.2844674986750034
GATA3,0.017964071856287428,0.2506353147363809,0.006548105914550359,0.007912772189382123,0.28306026469660084
RICTOR,0.011976047904191617,0.2356891721144866,0.0277036288868047,0.006726078481371212,0.2820949273868541
RECQL4,0.017964071856287428,0.2191054990232754,1.8582768745094694e-05,0.03887379178182007,0.275961945430128
KIT,0.029940119760479042,0.22290776364840817,0.0,0.02298452436655211,0.2758324077754393
FGFR2,0.029940119760479042,0.22290776364840817,9.783333418932832e-05,0.021450320908737427,0.274396037651814
TOP2A,0.017964071856287428,0.19914821519751194,0.054757953971574916,0.0016349704012254694,0.2735052114265997
KLF4,0.005988023952095809,0.2488147192298212,0.0,0.018449600113409487,0.27325234329532655
NRG1,0.023952095808383235,0.23196496397723737,0.0,0.01602143750144073,0.2719384972870614
FOXA1,0.017964071856287428,0.24178936245156743,0.00012264627371762503,0.0115230137712526,0.27139909435282505
YAP1,0.029940119760479042,0.21319601460978455,0.02365586046714223,0.003023567764131653,0.2698155626015375
PPM1D,0.011976047904191617,0.2191054990232754,0.0,0.03002833505237104,0.2611098819798381
