stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000269305	9606.ENSP00000495360	TP53	CTNNB1	9606	0.927	0	0	0	0.049	0	0	0.927
9606.ENSP00000269305	9606.ENSP00000275493	TP53	EGFR	9606	0.943	0	0	0	0	0.329	0	0.919
9606.ENSP00000269305	9606.ENSP00000451828	TP53	AKT1	9606	0.994	0	0	0	0.049	0.184	0.9	0.934
9606.ENSP00000269305	9606.ENSP00000360266	TP53	JUN	9606	0.997	0	0	0	0	0.324	0.5	0.992
9606.ENSP00000269305	9606.ENSP00000478887	TP53	MYC	9606	0.997	0	0	0	0.067	0.3	0	0.997
9606.ENSP00000275493	9606.ENSP00000352798	EGFR	COL18A1	9606	0.64	0	0	0	0.083	0	0	0.624
9606.ENSP00000275493	9606.ENSP00000451828	EGFR	AKT1	9606	0.792	0	0	0	0.042	0.64	0	0.445
9606.ENSP00000275493	9606.ENSP00000360266	EGFR	JUN	9606	0.871	0	0	0	0.059	0.25	0	0.832
9606.ENSP00000275493	9606.ENSP00000478887	EGFR	MYC	9606	0.875	0	0	0	0.044	0.103	0	0.866
9606.ENSP00000275493	9606.ENSP00000495360	EGFR	CTNNB1	9606	0.998	0	0	0	0.064	0.718	0.9	0.94
9606.ENSP00000352798	9606.ENSP00000478887	COL18A1	MYC	9606	0.407	0	0	0	0.058	0.161	0	0.31
9606.ENSP00000352798	9606.ENSP00000451828	COL18A1	AKT1	9606	0.466	0	0	0	0.074	0	0	0.447
9606.ENSP00000360266	9606.ENSP00000495360	JUN	CTNNB1	9606	0.898	0	0	0	0.045	0.095	0	0.891
9606.ENSP00000360266	9606.ENSP00000478887	JUN	MYC	9606	0.97	0	0	0	0.079	0.626	0	0.922
9606.ENSP00000360266	9606.ENSP00000451828	JUN	AKT1	9606	0.991	0	0	0	0.049	0.085	0.9	0.915
9606.ENSP00000451828	9606.ENSP00000478887	AKT1	MYC	9606	0.928	0	0	0	0	0.169	0	0.918
9606.ENSP00000451828	9606.ENSP00000495360	AKT1	CTNNB1	9606	0.979	0	0	0	0.074	0.539	0.4	0.93
9606.ENSP00000478887	9606.ENSP00000495360	MYC	CTNNB1	9606	0.985	0	0	0	0.058	0.567	0.5	0.937
