Original Value,Processed Value
[],CP2D7_HUMAN
[],PIOS1_HUMAN
[],MOTSC_HUMAN
[],CD3CH_HUMAN
[],NBDY_HUMAN
[],CIROP_HUMAN
[],S12A8_HUMAN
[],RBM47_HUMAN
[],IFT56_HUMAN
[],TM129_HUMAN
[],E2F8_HUMAN
[],UBA6_HUMAN
[],ESYT2_HUMAN
[],ESYT3_HUMAN
[],MED19_HUMAN
[],BLT3B_HUMAN
[],POTB3_HUMAN
[],IGLC7_HUMAN
[],SHOT1_HUMAN
[],SC5AA_HUMAN
[],FEZF1_HUMAN
[],T120B_HUMAN
[],CLRN2_HUMAN
[],RHG10_HUMAN
[],IRGM_HUMAN
[],F170A_HUMAN
[],ANO9_HUMAN
[],S22AN_HUMAN
[],ODAM_HUMAN
[],F168B_HUMAN
[],PXDNL_HUMAN
[],HACL2_HUMAN
[],U2QL1_HUMAN
[],SYCE3_HUMAN
[],PKHG3_HUMAN
[],ELOV7_HUMAN
[],SRCRL_HUMAN
[],FSD2_HUMAN
[],SPD2B_HUMAN
[],CBAR1_HUMAN
[],MACD2_HUMAN
[],ZC12D_HUMAN
[],FRMD3_HUMAN
[],CCD78_HUMAN
[],HFM1_HUMAN
[],NBAS_HUMAN
[],SYTC2_HUMAN
[],TM218_HUMAN
[],TESP1_HUMAN
[],HYKK_HUMAN
[],MEIOC_HUMAN
[],CCD66_HUMAN
[],TYW5_HUMAN
[],MBPHL_HUMAN
[],T131L_HUMAN
[],SSPO_HUMAN
[],VWA8_HUMAN
[],LAMB4_HUMAN
[],ISPD_HUMAN
[],F221A_HUMAN
[],GSAP_HUMAN
[],GTPBA_HUMAN
[],WDR91_HUMAN
[],PRS37_HUMAN
[],CC14C_HUMAN
[],MBLC1_HUMAN
[],PM2P1_HUMAN
[],EME2_HUMAN
[],XIRP2_HUMAN
[],POTEF_HUMAN
[],CL18A_HUMAN
[],VP37C_HUMAN
[],ODAD3_HUMAN
[],CFA69_HUMAN
[],PSB11_HUMAN
[],PSD1_HUMAN
[],PEDS1_HUMAN
[],5HT3E_HUMAN
[],CNOT1_HUMAN
[],CRNS1_HUMAN
[],MEG11_HUMAN
[],BDP1_HUMAN
[],F221B_HUMAN
[],CC88B_HUMAN
[],NKX26_HUMAN
[],JUNO_HUMAN
[],FA83G_HUMAN
[],PALM3_HUMAN
[],RBY1B_HUMAN
[],PGP_HUMAN
[],TMM8B_HUMAN
[],RCCD1_HUMAN
[],GG6L9_HUMAN
[],TIKI2_HUMAN
[],TCAF2_HUMAN
[],MFS2B_HUMAN
[],SDHF1_HUMAN
[],PCARE_HUMAN
[],OOEP_HUMAN
[],GGT3_HUMAN
[],TBAL3_HUMAN
[],FBLL1_HUMAN
[],SMHD1_HUMAN
[],CAST2_HUMAN
[],MSGN1_HUMAN
[],MYMK_HUMAN
[],LIRA5_HUMAN
[],U119B_HUMAN
[],WTIP_HUMAN
[],NKX63_HUMAN
[],MET15_HUMAN
[],IRG1_HUMAN
[],LIPT2_HUMAN
[],RASFA_HUMAN
[],PCX2_HUMAN
[],ARI3C_HUMAN
[],CO6A6_HUMAN
