Ingredient,UniProt_name,Probability
Imatinib,VEGFA_HUMAN|P15692,0.82
Imatinib,CTNNB1_HUMAN|P35222,0.52
Imatinib,AKT1_HUMAN|P31749,0.55
Imatinib,IL6_HUMAN|P05231,0.59
Imatinib,GAPDH_HUMAN|P04406,0.85
Doxorubicin,CTNNB1_HUMAN|P35222,0.81
Doxorubicin,EGFR_HUMAN|P00533,0.88
Doxorubicin,JUN_HUMAN|P05412,0.66
Doxorubicin,MYC_HUMAN|P01106,0.69
Doxorubicin,TP53_HUMAN|P04637,0.7
Paclitaxel,JUN_HUMAN|P05412,0.81
Paclitaxel,ALB_HUMAN|P02768,0.65
Paclitaxel,TNF_HUMAN|P01375,0.98
Paclitaxel,GAPDH_HUMAN|P04406,0.92
Paclitaxel,CTNNB1_HUMAN|P35222,0.83
Methotrexate,JUN_HUMAN|P05412,0.68
Methotrexate,AKT1_HUMAN|P31749,0.89
Methotrexate,GAPDH_HUMAN|P04406,0.82
Methotrexate,INS_HUMAN|P01308,0.52
Methotrexate,TNF_HUMAN|P01375,0.84
Tamoxifen,JUN_HUMAN|P05412,0.55
Tamoxifen,ALB_HUMAN|P02768,0.7
Tamoxifen,INS_HUMAN|P01308,0.83
Tamoxifen,CTNNB1_HUMAN|P35222,0.87
Tamoxifen,GAPDH_HUMAN|P04406,0.54
Fluorouracil,MYC_HUMAN|P01106,0.93
Fluorouracil,ALB_HUMAN|P02768,0.5
Fluorouracil,AKT1_HUMAN|P31749,0.83
Fluorouracil,VEGFA_HUMAN|P15692,0.88
Fluorouracil,TP53_HUMAN|P04637,0.55
Gefitinib,GAPDH_HUMAN|P04406,0.72
Gefitinib,AKT1_HUMAN|P31749,0.72
Gefitinib,ALB_HUMAN|P02768,0.97
Gefitinib,VEGFA_HUMAN|P15692,0.84
Gefitinib,MYC_HUMAN|P01106,0.75
Erlotinib,JUN_HUMAN|P05412,0.76
Erlotinib,AKT1_HUMAN|P31749,0.59
Erlotinib,TNF_HUMAN|P01375,0.63
Erlotinib,VEGFA_HUMAN|P15692,0.78
Erlotinib,TP53_HUMAN|P04637,0.69
Sunitinib,AKT1_HUMAN|P31749,0.91
Sunitinib,VEGFA_HUMAN|P15692,0.54
Sunitinib,IL6_HUMAN|P05231,0.68
Sunitinib,INS_HUMAN|P01308,0.53
Sunitinib,JUN_HUMAN|P05412,0.65
Sorafenib,TNF_HUMAN|P01375,0.67
Sorafenib,TP53_HUMAN|P04637,0.74
Sorafenib,AKT1_HUMAN|P31749,0.81
Sorafenib,MYC_HUMAN|P01106,0.72
Sorafenib,GAPDH_HUMAN|P04406,0.5
